Iter 10, task chunking, loss 3.400405168533325
Iter 840, task chunking, loss 1.7548624277114868
Iter 850, task chunking, loss 1.6974893808364868
Iter 860, task chunking, loss 1.7713634967803955
Iter 870, task chunking, loss 1.7262403964996338
Iter 880, task chunking, loss 1.7011091709136963
Iter 890, task chunking, loss 1.7091903686523438
Iter 900, task chunking, loss 1.6881170272827148
Iter 910, task chunking, loss 1.671278953552246
Iter 920, task chunking, loss 1.6895167827606201
Iter 930, task chunking, loss 1.7308454513549805
Iter 940, task chunking, loss 1.6658556461334229
Iter 950, task chunking, loss 1.687869668006897
Iter 960, task chunking, loss 1.6125545501708984
Iter 970, task chunking, loss 1.6579052209854126
Iter 980, task chunking, loss 1.68923819065094
Iter 990, task chunking, loss 1.6391708850860596
Iter 1000, task chunking, loss 1.6750911474227905
Iter 1010, task chunking, loss 1.715721845626831
Iter 1020, task chunking, loss 1.6604804992675781
Iter 1030, task chunking, loss 1.7073400020599365
Iter 1040, task chunking, loss 1.688004493713379
Iter 1050, task chunking, loss 1.5944641828536987
Iter 1060, task chunking, loss 1.7256877422332764
Iter 1070, task chunking, loss 1.6848493814468384
Iter 1080, task chunking, loss 1.6215111017227173
Iter 1090, task chunking, loss 1.6469953060150146
Iter 1100, task chunking, loss 1.6284862756729126
Iter 1110, task chunking, loss 1.642690658569336
Iter 1120, task chunking, loss 1.6093358993530273
Iter 1130, task chunking, loss 1.5857620239257812
Iter 1140, task chunking, loss 1.6412779092788696
Iter 1150, task chunking, loss 1.5374354124069214
Iter 1160, task chunking, loss 1.612480878829956
Iter 1170, task chunking, loss 1.573625922203064
Iter 1180, task chunking, loss 1.6354458332061768
Iter 1190, task chunking, loss 1.5635530948638916
Iter 1200, task chunking, loss 1.548916220664978
Iter 1210, task chunking, loss 1.5288130044937134
Iter 1220, task chunking, loss 1.5528757572174072
Iter 1230, task chunking, loss 1.5505653619766235
Iter 1240, task chunking, loss 1.5605127811431885
Iter 1250, task chunking, loss 1.5065487623214722
Iter 1260, task chunking, loss 1.537795066833496
Iter 1270, task chunking, loss 1.6169286966323853
Iter 1280, task chunking, loss 1.5117578506469727
Iter 1290, task chunking, loss 1.5232994556427002
Iter 1300, task chunking, loss 1.5729070901870728
Iter 1310, task chunking, loss 1.6132055521011353
Iter 1320, task chunking, loss 1.5496517419815063
Iter 1330, task chunking, loss 1.53178071975708
Iter 1340, task chunking, loss 1.5713444948196411
Iter 1350, task chunking, loss 1.553065538406372
Iter 1360, task chunking, loss 1.5378094911575317
Iter 1370, task chunking, loss 1.4861576557159424
Iter 1380, task chunking, loss 1.535309076309204
Iter 1390, task chunking, loss 1.5122579336166382
Iter 1400, task chunking, loss 1.5017575025558472
Iter 1410, task chunking, loss 1.4893927574157715
Iter 1420, task chunking, loss 1.5005320310592651
Iter 1430, task chunking, loss 1.4968749284744263
Iter 1440, task chunking, loss 1.4097753763198853
Iter 1450, task chunking, loss 1.4998893737792969
Iter 1460, task chunking, loss 1.5177631378173828
Iter 1470, task chunking, loss 1.5318152904510498
Iter 1480, task chunking, loss 1.4205541610717773
Iter 1490, task chunking, loss 1.4764716625213623
Iter 1500, task chunking, loss 1.5115272998809814
Iter 1510, task chunking, loss 1.4647446870803833
Iter 1520, task chunking, loss 1.5231218338012695
Iter 1530, task chunking, loss 1.4440994262695312
Iter 1540, task chunking, loss 1.4440577030181885
Iter 1550, task chunking, loss 1.488339900970459
Iter 1560, task chunking, loss 1.4869849681854248
Iter 1570, task chunking, loss 1.4392414093017578
Iter 1580, task chunking, loss 1.4859702587127686
Iter 1590, task chunking, loss 1.4379557371139526
Iter 1600, task chunking, loss 1.4066320657730103
Iter 1610, task chunking, loss 1.4431403875350952
Iter 1620, task chunking, loss 1.4070184230804443
Iter 1630, task chunking, loss 1.4189786911010742
Iter 1640, task chunking, loss 1.4343998432159424
Iter 1650, task chunking, loss 1.4743127822875977
Iter 1660, task chunking, loss 1.3896797895431519
Iter 1670, task chunking, loss 1.3453309535980225
Iter 1680, task chunking, loss 1.4027726650238037
Iter 1690, task chunking, loss 1.447200059890747
Iter 1700, task chunking, loss 1.3807262182235718
Iter 1710, task chunking, loss 1.3390909433364868
Iter 1720, task chunking, loss 1.3964864015579224
Iter 1730, task chunking, loss 1.3940613269805908
Iter 1740, task chunking, loss 1.4122990369796753
Iter 1750, task chunking, loss 1.3867802619934082
Iter 1760, task chunking, loss 1.387850284576416
Iter 1770, task chunking, loss 1.4207628965377808
Iter 1780, task chunking, loss 1.3754289150238037
Iter 1790, task chunking, loss 1.354913353919983
Iter 1800, task chunking, loss 1.4657169580459595
Iter 1810, task chunking, loss 1.3501214981079102
Iter 1820, task chunking, loss 1.4335548877716064
Iter 1830, task chunking, loss 1.4479568004608154
Iter 1840, task chunking, loss 1.3874433040618896
Iter 1850, task chunking, loss 1.4075227975845337
Iter 1860, task chunking, loss 1.382788896560669
Iter 1870, task chunking, loss 1.3442013263702393
Iter 1880, task chunking, loss 1.325036883354187
Iter 1890, task chunking, loss 1.35514497756958
Iter 1900, task chunking, loss 1.3331034183502197
Iter 1910, task chunking, loss 1.2900125980377197
Iter 1920, task chunking, loss 1.3518458604812622
Iter 1930, task chunking, loss 1.3740465641021729
Iter 1940, task chunking, loss 1.421518087387085
Iter 1950, task chunking, loss 1.347171425819397
Iter 1960, task chunking, loss 1.3447781801223755
Iter 1970, task chunking, loss 1.3754483461380005
Iter 1980, task chunking, loss 1.3082259893417358
Iter 1990, task chunking, loss 1.3786365985870361
Iter 2000, task chunking, loss 1.3326494693756104
Iter 2010, task chunking, loss 1.3014527559280396
Iter 2020, task chunking, loss 1.373142957687378
Iter 2030, task chunking, loss 1.3083126544952393
Iter 2040, task chunking, loss 1.289870262145996
Iter 2050, task chunking, loss 1.3752511739730835
Iter 2060, task chunking, loss 1.3952219486236572
Iter 2070, task chunking, loss 1.420902967453003
Iter 2080, task chunking, loss 1.330757737159729
Iter 2090, task chunking, loss 1.3531992435455322
Iter 2100, task chunking, loss 1.3548948764801025
Iter 2110, task chunking, loss 1.3807156085968018
Iter 2120, task chunking, loss 1.3703701496124268
Iter 2130, task chunking, loss 1.3460315465927124
Iter 2140, task chunking, loss 1.3931955099105835
Iter 2150, task chunking, loss 1.3395859003067017
Iter 2160, task chunking, loss 1.2564367055892944
Iter 2170, task chunking, loss 1.3851852416992188
Iter 2180, task chunking, loss 1.3228230476379395
Iter 2190, task chunking, loss 1.3218291997909546
Iter 2200, task chunking, loss 1.3754554986953735
Iter 2210, task chunking, loss 1.3767590522766113
Iter 2220, task chunking, loss 1.2911274433135986
Iter 2230, task chunking, loss 1.3123705387115479
Iter 2240, task chunking, loss 1.2630810737609863
Iter 2250, task chunking, loss 1.3036819696426392
Iter 2260, task chunking, loss 1.2611160278320312
Iter 2270, task chunking, loss 1.2834360599517822
Iter 2280, task chunking, loss 1.2737433910369873
Iter 2290, task chunking, loss 1.2948750257492065
Iter 2300, task chunking, loss 1.2778480052947998
Iter 2310, task chunking, loss 1.3199769258499146
Iter 2320, task chunking, loss 1.2719104290008545
Iter 2330, task chunking, loss 1.3063113689422607
Iter 2340, task chunking, loss 1.2855556011199951
Iter 2350, task chunking, loss 1.2957358360290527
Iter 2360, task chunking, loss 1.2977813482284546
Iter 2370, task chunking, loss 1.2899701595306396
Iter 2380, task chunking, loss 1.259660243988037
Iter 2390, task chunking, loss 1.273428201675415
Iter 2400, task chunking, loss 1.2685823440551758
Iter 2410, task chunking, loss 1.3075605630874634
Iter 2420, task chunking, loss 1.24496328830719
Iter 2430, task chunking, loss 1.263143539428711
Iter 2440, task chunking, loss 1.1502387523651123
Iter 2450, task chunking, loss 1.2669316530227661
Iter 2460, task chunking, loss 1.2799780368804932
Iter 2470, task chunking, loss 1.2686952352523804
Iter 2480, task chunking, loss 1.285467267036438
Iter 2490, task chunking, loss 1.3272181749343872
Iter 2500, task chunking, loss 1.2427207231521606
Iter 2510, task chunking, loss 1.2347538471221924
Iter 2520, task chunking, loss 1.2765156030654907
Iter 2530, task chunking, loss 1.2976157665252686
Iter 2540, task chunking, loss 1.2487351894378662
Iter 2550, task chunking, loss 1.2105662822723389
Iter 2560, task chunking, loss 1.2200177907943726
Iter 2570, task chunking, loss 1.2969274520874023
Iter 2580, task chunking, loss 1.2633694410324097
Iter 2590, task chunking, loss 1.2740931510925293
Iter 2600, task chunking, loss 1.156494379043579
Iter 2610, task chunking, loss 1.1833171844482422
Iter 2620, task chunking, loss 1.2181169986724854
Iter 2630, task chunking, loss 1.2094089984893799
Iter 2640, task chunking, loss 1.311404824256897
Iter 2650, task chunking, loss 1.26084566116333
Iter 2660, task chunking, loss 1.2217566967010498
Iter 2670, task chunking, loss 1.213668942451477
Iter 2680, task chunking, loss 1.2468976974487305
Iter 2690, task chunking, loss 1.2048835754394531
Iter 2700, task chunking, loss 1.273572564125061
Iter 2710, task chunking, loss 1.2312501668930054
Iter 2720, task chunking, loss 1.186126470565796
Iter 2730, task chunking, loss 1.3145569562911987
Iter 2740, task chunking, loss 1.1929718255996704
Iter 2750, task chunking, loss 1.2219860553741455
Iter 2760, task chunking, loss 1.2107305526733398
Iter 2770, task chunking, loss 1.2324597835540771
Iter 2780, task chunking, loss 1.1536147594451904
Iter 2790, task chunking, loss 1.2075831890106201
Iter 2800, task chunking, loss 1.113671064376831
Iter 2810, task chunking, loss 1.1970373392105103
Iter 2820, task chunking, loss 1.2394382953643799
Iter 2830, task chunking, loss 1.2509021759033203
Iter 2840, task chunking, loss 1.1989185810089111
Iter 2850, task chunking, loss 1.202648401260376
Iter 2860, task chunking, loss 1.161195158958435
Iter 2870, task chunking, loss 1.1815272569656372
Iter 2880, task chunking, loss 1.2910726070404053
Iter 2890, task chunking, loss 1.2464783191680908
Iter 2900, task chunking, loss 1.2170045375823975
Iter 2910, task chunking, loss 1.1636956930160522
Iter 2920, task chunking, loss 1.226327896118164
Iter 2930, task chunking, loss 1.186115026473999
Iter 2940, task chunking, loss 1.1624834537506104
Iter 2950, task chunking, loss 1.236621618270874
Iter 2960, task chunking, loss 1.2122573852539062
Iter 2970, task chunking, loss 1.1305296421051025
Iter 2980, task chunking, loss 1.1819875240325928
Iter 2990, task chunking, loss 1.2099030017852783
Iter 3000, task chunking, loss 1.2226492166519165
Iter 3010, task chunking, loss 1.1766098737716675
Iter 3020, task chunking, loss 1.2018072605133057
Iter 3030, task chunking, loss 1.2186028957366943
Iter 3040, task chunking, loss 1.188547134399414
Iter 3050, task chunking, loss 1.2049752473831177
Iter 3060, task chunking, loss 1.2033451795578003
Iter 3070, task chunking, loss 1.1830484867095947
Iter 3080, task chunking, loss 1.1956076622009277
Iter 3090, task chunking, loss 1.1486825942993164
Iter 3100, task chunking, loss 1.1739428043365479
Iter 3110, task chunking, loss 1.1473098993301392
Iter 3120, task chunking, loss 1.1526862382888794
Iter 3130, task chunking, loss 1.209222435951233
Iter 3140, task chunking, loss 1.1310118436813354
Iter 3150, task chunking, loss 1.218000888824463
Iter 3160, task chunking, loss 1.1372206211090088
Iter 3170, task chunking, loss 1.160512924194336
Iter 3180, task chunking, loss 1.2401316165924072
Iter 3190, task chunking, loss 1.202632188796997
Iter 3200, task chunking, loss 1.1438482999801636
Iter 3210, task chunking, loss 1.2123104333877563
Iter 3220, task chunking, loss 1.1720223426818848
Iter 3230, task chunking, loss 1.2204856872558594
Iter 3240, task chunking, loss 1.1598440408706665
Iter 3250, task chunking, loss 1.1868960857391357
Iter 3260, task chunking, loss 1.1551593542099
Iter 3270, task chunking, loss 1.164984107017517
Iter 3280, task chunking, loss 1.1671620607376099
Iter 3290, task chunking, loss 1.1905467510223389
Iter 3300, task chunking, loss 1.1815073490142822
Iter 3310, task chunking, loss 1.2025794982910156
Iter 3320, task chunking, loss 1.2247364521026611
Iter 3330, task chunking, loss 1.1524755954742432
Iter 3340, task chunking, loss 1.0967094898223877
Iter 3350, task chunking, loss 1.0768413543701172
Iter 3360, task chunking, loss 1.122821569442749
Iter 3370, task chunking, loss 1.1998504400253296
Iter 3380, task chunking, loss 1.1186535358428955
Iter 3390, task chunking, loss 1.153116226196289
Iter 3400, task chunking, loss 1.1170179843902588
Iter 3410, task chunking, loss 1.1060435771942139
Iter 3420, task chunking, loss 1.106075644493103
Iter 3430, task chunking, loss 1.115264654159546
Iter 3440, task chunking, loss 1.0857133865356445
Iter 3450, task chunking, loss 1.1813455820083618
Iter 3460, task chunking, loss 1.1472358703613281
Iter 3470, task chunking, loss 1.157006859779358
Iter 3480, task chunking, loss 1.1749218702316284
Iter 3490, task chunking, loss 1.1608221530914307
Iter 3500, task chunking, loss 1.0853170156478882
Iter 3510, task chunking, loss 1.0817725658416748
Iter 3520, task chunking, loss 1.109527349472046
Iter 3530, task chunking, loss 1.1171318292617798
Iter 3540, task chunking, loss 1.1577417850494385
Iter 3550, task chunking, loss 1.1070077419281006
Iter 3560, task chunking, loss 1.1126642227172852
Iter 3570, task chunking, loss 1.0570063591003418
Iter 3580, task chunking, loss 1.1528489589691162
Iter 3590, task chunking, loss 1.082841157913208
Iter 3600, task chunking, loss 1.191631555557251
Iter 3610, task chunking, loss 1.190350890159607
Iter 3620, task chunking, loss 1.0675811767578125
Iter 3630, task chunking, loss 1.1204793453216553
Iter 3640, task chunking, loss 1.1478701829910278
Iter 3650, task chunking, loss 1.1032122373580933
Iter 3660, task chunking, loss 1.135876178741455
Iter 3670, task chunking, loss 1.0683777332305908
Iter 3680, task chunking, loss 1.1842011213302612
Iter 3690, task chunking, loss 1.1392221450805664
Iter 3700, task chunking, loss 1.1639373302459717
Iter 3710, task chunking, loss 1.1794462203979492
Iter 3720, task chunking, loss 1.114678144454956
Iter 3730, task chunking, loss 1.130178689956665
Iter 3740, task chunking, loss 1.1180789470672607
Iter 3750, task chunking, loss 1.1114418506622314
Iter 3760, task chunking, loss 1.1087329387664795
Iter 3770, task chunking, loss 1.0365965366363525
Iter 3780, task chunking, loss 1.0845781564712524
Iter 3790, task chunking, loss 1.0708577632904053
Iter 3800, task chunking, loss 1.13396418094635
Iter 3810, task chunking, loss 1.0973011255264282
Iter 3820, task chunking, loss 1.1259641647338867
Iter 3830, task chunking, loss 1.1087543964385986
Iter 3840, task chunking, loss 1.0896387100219727
Iter 3850, task chunking, loss 1.0450947284698486
Iter 3860, task chunking, loss 1.0804545879364014
Iter 3870, task chunking, loss 1.1370757818222046
Iter 3880, task chunking, loss 1.1335561275482178
Iter 3890, task chunking, loss 1.150309681892395
Iter 3900, task chunking, loss 1.0417516231536865
Iter 3910, task chunking, loss 1.0546725988388062
Iter 3920, task chunking, loss 1.1604785919189453
Iter 3930, task chunking, loss 1.0609619617462158
Iter 3940, task chunking, loss 0.9600216746330261
Iter 3950, task chunking, loss 1.0876410007476807
Iter 3960, task chunking, loss 1.0443528890609741
Iter 3970, task chunking, loss 1.0999540090560913
Iter 3980, task chunking, loss 1.0930780172348022
Iter 3990, task chunking, loss 1.1491707563400269
Iter 4000, task chunking, loss 1.101574420928955
Iter 4010, task chunking, loss 1.0344445705413818
Iter 4020, task chunking, loss 1.0919554233551025
Iter 4030, task chunking, loss 1.0584018230438232
Iter 4040, task chunking, loss 1.1029598712921143
Iter 4050, task chunking, loss 1.1276328563690186
Iter 4060, task chunking, loss 1.0140244960784912
Iter 4070, task chunking, loss 1.0751054286956787
Iter 4080, task chunking, loss 1.1736732721328735
Iter 4090, task chunking, loss 1.0553271770477295
Iter 4100, task chunking, loss 1.1133781671524048
Iter 4110, task chunking, loss 1.0813850164413452
Iter 4120, task chunking, loss 1.0900020599365234
Iter 4130, task chunking, loss 1.0635801553726196
Iter 4140, task chunking, loss 1.0913732051849365
Iter 4150, task chunking, loss 1.1285669803619385
Iter 4160, task chunking, loss 1.013257622718811
Iter 4170, task chunking, loss 1.0684516429901123
Iter 4180, task chunking, loss 1.0442390441894531
Iter 4190, task chunking, loss 1.0601375102996826
Iter 4200, task chunking, loss 1.0558419227600098
Iter 4210, task chunking, loss 1.0291459560394287
Iter 4220, task chunking, loss 1.0127917528152466
Iter 4230, task chunking, loss 1.049499273300171
Iter 4240, task chunking, loss 1.108546495437622
Iter 4250, task chunking, loss 1.091559886932373
Iter 4260, task chunking, loss 1.0781865119934082
Iter 4270, task chunking, loss 1.1065661907196045
Iter 4280, task chunking, loss 1.0221562385559082
Iter 4290, task chunking, loss 0.9618800282478333
Iter 4300, task chunking, loss 1.0465271472930908
Iter 4310, task chunking, loss 1.0442018508911133
Iter 4320, task chunking, loss 1.0310709476470947
Iter 4330, task chunking, loss 1.031357765197754
Iter 4340, task chunking, loss 1.0359933376312256
Iter 4350, task chunking, loss 1.0068955421447754
Iter 4360, task chunking, loss 0.994927704334259
Iter 4370, task chunking, loss 1.0554640293121338
Iter 4380, task chunking, loss 1.0175752639770508
Iter 4390, task chunking, loss 1.0592966079711914
Iter 4400, task chunking, loss 1.0399444103240967
Iter 4410, task chunking, loss 1.0087107419967651
Iter 4420, task chunking, loss 0.9807082414627075
Iter 4430, task chunking, loss 1.0713038444519043
Iter 4440, task chunking, loss 1.086065649986267
Iter 4450, task chunking, loss 1.007786512374878
Iter 4460, task chunking, loss 1.027077555656433
Iter 4470, task chunking, loss 1.0019747018814087
Iter 4480, task chunking, loss 1.0887610912322998
Iter 4490, task chunking, loss 1.0509995222091675
Iter 4500, task chunking, loss 1.032439112663269
Iter 4510, task chunking, loss 0.9974382519721985
Iter 4520, task chunking, loss 1.0837781429290771
Iter 4530, task chunking, loss 1.0591721534729004
Iter 4540, task chunking, loss 1.045283555984497
Iter 4550, task chunking, loss 1.0309070348739624
Iter 4560, task chunking, loss 1.0745993852615356
Iter 4570, task chunking, loss 0.9842140078544617
Iter 4580, task chunking, loss 0.9855392575263977
Iter 4590, task chunking, loss 0.9990663528442383
Iter 4600, task chunking, loss 1.0199370384216309
Iter 4610, task chunking, loss 1.1191072463989258
Iter 4620, task chunking, loss 1.0525298118591309
Iter 4630, task chunking, loss 1.05795156955719
Iter 4640, task chunking, loss 1.0403283834457397
Iter 4650, task chunking, loss 1.0630165338516235
Iter 4660, task chunking, loss 0.9813173413276672
Iter 4670, task chunking, loss 1.070462703704834
Iter 4680, task chunking, loss 1.0768077373504639
Iter 4690, task chunking, loss 1.0183897018432617
Iter 4700, task chunking, loss 1.0174944400787354
Iter 4710, task chunking, loss 1.0028283596038818
Iter 4720, task chunking, loss 1.0525352954864502
Iter 4730, task chunking, loss 1.0138956308364868
Iter 4740, task chunking, loss 1.0060482025146484
Iter 4750, task chunking, loss 1.032134771347046
Iter 4760, task chunking, loss 0.9710505604743958
Iter 4770, task chunking, loss 1.010695457458496
Iter 4780, task chunking, loss 1.065819263458252
Iter 4790, task chunking, loss 1.0361436605453491
Iter 4800, task chunking, loss 1.010438323020935
Iter 4810, task chunking, loss 1.0602645874023438
Iter 4820, task chunking, loss 1.0015021562576294
Iter 4830, task chunking, loss 1.0050462484359741
Iter 4840, task chunking, loss 0.9303132891654968
Iter 4850, task chunking, loss 1.0244691371917725
Iter 4860, task chunking, loss 0.9454070925712585
Iter 4870, task chunking, loss 0.997125506401062
Iter 4880, task chunking, loss 1.0342612266540527
Iter 4890, task chunking, loss 0.9810479879379272
Iter 4900, task chunking, loss 0.969648540019989
Iter 4910, task chunking, loss 0.9871660470962524
Iter 4920, task chunking, loss 1.007218837738037
Iter 4930, task chunking, loss 1.0483474731445312
Iter 4940, task chunking, loss 0.9886960983276367
Iter 4950, task chunking, loss 1.0004544258117676
Iter 4960, task chunking, loss 0.9928417205810547
Iter 4970, task chunking, loss 0.95277339220047
Iter 4980, task chunking, loss 1.0177993774414062
Iter 4990, task chunking, loss 1.0370948314666748
Iter 5000, task chunking, loss 0.9837112426757812
Iter 5010, task chunking, loss 0.9753724932670593
Iter 5020, task chunking, loss 1.0161402225494385
Iter 5030, task chunking, loss 0.9950456619262695
Iter 5040, task chunking, loss 0.9994832873344421
Iter 5050, task chunking, loss 0.9969671368598938
Iter 5060, task chunking, loss 0.9640249013900757
Iter 5070, task chunking, loss 0.9928277134895325
Iter 5080, task chunking, loss 0.9749555587768555
Iter 5090, task chunking, loss 1.0060946941375732
Iter 5100, task chunking, loss 0.9353492856025696
Iter 5110, task chunking, loss 1.0463330745697021
Iter 5120, task chunking, loss 0.9919174313545227
Iter 5130, task chunking, loss 0.9840365648269653
Iter 5140, task chunking, loss 0.9864119291305542
Iter 5150, task chunking, loss 0.9926636815071106
Iter 5160, task chunking, loss 1.0137460231781006
Iter 5170, task chunking, loss 0.961398720741272
Iter 5180, task chunking, loss 1.0405693054199219
Iter 5190, task chunking, loss 1.018947720527649
Iter 5200, task chunking, loss 1.0520416498184204
Iter 5210, task chunking, loss 0.9549450874328613
Iter 5220, task chunking, loss 0.9583061933517456
Iter 5230, task chunking, loss 0.9561742544174194
Iter 5240, task chunking, loss 0.9530850648880005
Iter 5250, task chunking, loss 0.9900863766670227
Iter 5260, task chunking, loss 1.0072593688964844
Iter 5270, task chunking, loss 0.9664824604988098
Iter 5280, task chunking, loss 0.9431532025337219
Iter 5290, task chunking, loss 0.9678460359573364
Iter 5300, task chunking, loss 1.041057825088501
Iter 5310, task chunking, loss 1.0334155559539795
Iter 5320, task chunking, loss 1.0105104446411133
Iter 5330, task chunking, loss 1.0475925207138062
Iter 5340, task chunking, loss 1.0107238292694092
Iter 5350, task chunking, loss 0.9786558151245117
Iter 5360, task chunking, loss 0.9619181752204895
Iter 5370, task chunking, loss 0.9545624852180481
Iter 5380, task chunking, loss 0.9921949505805969
Iter 5390, task chunking, loss 0.9863284826278687
Iter 5400, task chunking, loss 0.9424711465835571
Iter 5410, task chunking, loss 0.9480336904525757
Iter 5420, task chunking, loss 0.9187942743301392
Iter 5430, task chunking, loss 0.9019145965576172
Iter 5440, task chunking, loss 0.9635254144668579
Iter 5450, task chunking, loss 0.9851764440536499
Iter 5460, task chunking, loss 0.978013813495636
Iter 5470, task chunking, loss 0.9853466749191284
Iter 5480, task chunking, loss 0.8851022720336914
Iter 5490, task chunking, loss 0.9619971513748169
Iter 5500, task chunking, loss 1.0116137266159058
Iter 5510, task chunking, loss 0.9840278625488281
Iter 5520, task chunking, loss 0.9359182119369507
Iter 5530, task chunking, loss 0.9697636365890503
Iter 5540, task chunking, loss 0.971011757850647
Iter 5550, task chunking, loss 0.9424241185188293
Iter 5560, task chunking, loss 0.910023033618927
Iter 5570, task chunking, loss 0.9715306162834167
Iter 5580, task chunking, loss 0.9215076565742493
Iter 5590, task chunking, loss 0.8802751302719116
Iter 5600, task chunking, loss 1.0321147441864014
Iter 5610, task chunking, loss 0.9154915809631348
Iter 5620, task chunking, loss 0.9917064905166626
Iter 5630, task chunking, loss 1.0066601037979126
Iter 5640, task chunking, loss 0.9158573150634766
Iter 5650, task chunking, loss 0.9733575582504272
Iter 5660, task chunking, loss 0.9419149160385132
Iter 5670, task chunking, loss 0.9651762247085571
Iter 5680, task chunking, loss 0.9303433299064636
Iter 5690, task chunking, loss 0.9379922747612
Iter 5700, task chunking, loss 0.963162899017334
Iter 5710, task chunking, loss 0.9970148801803589
Iter 5720, task chunking, loss 0.9483127593994141
Iter 5730, task chunking, loss 0.9394810795783997
Iter 5740, task chunking, loss 0.9823163747787476
Iter 5750, task chunking, loss 0.9514042735099792
Iter 5760, task chunking, loss 0.9727133512496948
Iter 5770, task chunking, loss 0.9631060361862183
Iter 5780, task chunking, loss 0.8538926243782043
Iter 5790, task chunking, loss 0.9302586317062378
Iter 5800, task chunking, loss 0.8921109437942505
Iter 5810, task chunking, loss 0.8856796026229858
Iter 5820, task chunking, loss 0.9169193506240845
Iter 5830, task chunking, loss 0.9575554132461548
Iter 5840, task chunking, loss 0.9475328326225281
Iter 5850, task chunking, loss 0.925483226776123
Iter 5860, task chunking, loss 0.913917064666748
Iter 5870, task chunking, loss 0.8959738612174988
Iter 5880, task chunking, loss 0.9014400243759155
Iter 5890, task chunking, loss 0.9201698303222656
Iter 5900, task chunking, loss 0.9327509999275208
Iter 5910, task chunking, loss 0.8942640423774719
